Severity,Category,Issue,URL,File,Line,Recommendation,Impact,Difficulty,Status
HIGH,Analytics,"P0-5: GA4 (VITE_GA4_ID) + GSC verification env vars were unset, so tracking/verification tags were omitted","Sitewide","src/app.tsx; Vercel env",10-11,"Set VITE_GA4_ID=G-ZBGQL8K61D in Vercel (Config) + local .env; redeploy.","High (enables measurement)",Low,Done
CRITICAL,Indexability,"169 pages ""Discovered - currently not indexed"" (up from 4 in July) after mass launch of ~592 pages on a low-authority domain",Sitewide,app.config.ts,N/A,"Stop scaling page count. Prune/consolidate near-duplicate location pages; keep only cities with real demand. Build backlinks/authority. Submit priority pages via Indexing API and request indexing for money pages.",Very high — most pages get no traffic,High,Open
CRITICAL,Search Performance,"Organic impressions collapsed from ~156/day (early July) to single digits (August) correlating with mass page rollout",Sitewide,N/A,N/A,"Treat as quality-dilution signal. Focus crawl budget on 30-40 high-value pages; deprioritise thin near-template pages; improve E-E-A-T (author bios, sources, real project proof).",Very high,High,Open
HIGH,On-Page SEO,"CTR ~0 on pages ranking well: /blog/ibr-certification-guide 883 impr @ pos 16 = 4 clicks",https://www.creativemetalind.com/blog/ibr-certification-guide,src/routes/blog/ibr-certification-guide.tsx,15,"Rewrite title/meta to match queries (ibr certification, ibr full form, ibr form iii-c); add answer snippet + FAQ; add number/year hooks.",High — largest single impression source,Low,Done
HIGH,On-Page SEO,"ss-flange-types-guide 490 impr @ pos 9.9 but only 2 clicks; sorf-vs-wnrf query at pos 7 with 0 clicks",https://www.creativemetalind.com/blog/ss-flange-types-guide,src/routes/blog/ss-flange-types-guide.tsx,15,"Title/meta rewritten to lead with SORF vs WNRF. Still TODO: add comparison table high on page for featured-snippet capture.",High,Low,Done
HIGH,Content SEO,"IBR keyword cannibalisation across 4+ URLs (ibr-certification-guide, what-is-ibr-certification, ibr-form-iiic-complete-guide, why-ibr-certification-mandatory)",Multiple,src/routes/blog/*ibr*.tsx,N/A,"Designate one IBR pillar; retarget others to distinct long-tail intents or consolidate + 301. Internally link cluster to the pillar.",High,Medium,Open
HIGH,Content SEO,"100+ near-template location pages diluting quality signals and consuming crawl budget",/steel-supplier-*,src/routes/steel-supplier-*.tsx,N/A,"Keep high-value cities (Vadodara belt + top industrial hubs); consolidate or noindex low-demand duplicates until authority grows.",High,High,Open
HIGH,Performance,"No responsive images (no srcset/sizes); same large PNG served to mobile and desktop across /img-hq and /img",Sitewide,src/routes/index.tsx,26-58,"Add srcset/sizes; convert /img-hq and /img PNG/JPEG to WebP/AVIF; verify hero image weight for LCP.",High (CWV/LCP + mobile),Medium,Open
HIGH,Structured Data,"Product schema lacks offers and aggregateRating on most product pages -> weak Product rich results (106 impr, 0 clicks)",Product pages,src/routes/*supplier*.tsx; generate-pages.mjs,595-620,"Add offers (priceCurrency INR, availability) and aggregateRating where product reviews exist.",Medium-High,Medium,Open
HIGH,Search Performance,"Mobile ranks pos 9.9 vs desktop 35.4 but only 731 mobile impr vs 3217 desktop — mobile strength underleveraged",Sitewide,N/A,N/A,"Prioritise mobile UX and mobile page speed; ensure money pages are mobile-optimised to capitalise on stronger mobile ranking.",Medium-High,Medium,Open
MEDIUM,Technical SEO,"1 page reports 'Alternate page with proper canonical tag' (validation Failed)",Unknown,N/A,N/A,"Identify the page in GSC; fix canonical to self-reference or accept intended canonical; re-validate.",Medium,Low,Open
MEDIUM,Structured Data,"LocalBusiness geo coordinates differ: home 22.3072,73.1812 vs app.tsx 22.2964,73.2055",/ and sitewide,src/routes/index.tsx; src/app.tsx,N/A,"Use one authoritative GeoCoordinates value matching Google Business Profile.",Medium (local pack),Low,Open
MEDIUM,Structured Data,"priceRange inconsistent (₹₹₹ sitewide vs $$/$$$ on some pages)",Multiple,src/app.tsx; src/routes/steel-supplier-*.tsx,N/A,"Standardise priceRange across all schema blocks.",Low-Medium,Low,Open
MEDIUM,Structured Data,"Two LocalBusiness entities per page (#localbusiness + #business) — valid via distinct @id but redundant",Sitewide,src/app.tsx; landing pages,N/A,"Consolidate to one LocalBusiness entity referenced by @id; keep parentOrganization linkage.",Low-Medium,Medium,Open
MEDIUM,Broken Links,"~17 URLs crawled returning noindex 404 — internal/external links point to dead pages",Various,N/A,N/A,"Run internal link-integrity sweep: compare every href='/...' to actual route files; fix or 301 legacy URLs.",Medium,Medium,Open
MEDIUM,Content SEO,"Comparison guides may exist both in blog/[slug] ARTICLES map and as standalone files — duplicate/canonical risk",/blog/*,src/routes/blog/[slug].tsx,1-230,"Audit for any slug resolving in both [slug] map and a standalone file; keep one, 301/remove the other.",Medium,Low,Open
MEDIUM,Security,"Missing security headers: HSTS, Referrer-Policy, CSP, Permissions-Policy",Sitewide,vercel.json,4-15,"Add Strict-Transport-Security and Referrer-Policy (low risk); scope CSP carefully.",Low-Medium,Low,Open
MEDIUM,Accessibility,"Small muted-grey text (#9ca3af/#6b7280 on white) may fail WCAG AA contrast",Sitewide,src/app.css; inline styles,N/A,"Audit contrast; darken small secondary text to >=4.5:1.",Medium (UX/a11y),Low,Open
